[2026-03-19 00:28:20] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:28:20] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:28:25] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:28:25] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:28:28] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:28:28] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:28:32] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:28:32] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:28:36] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:28:36] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:28:40] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:28:40] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:28:44] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:28:44] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:28:48] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:28:48] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:29:03] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
[2026-03-19 00:29:03] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:29:07] ERROR    propertyhub.system | DB write failed for system log: no such table: PropApp_systemlog
